1951., 1.,  1.,  0.0128,  2.3169,  1.0000,  0.4046,  0.0736,  0.0000,  1.2039,    0.0000,  1
1951., 1.,  2.,  0.0109,  2.2959,  1.0000,  0.4105,  0.0950,  0.0000,  1.2041,    0.0000,  1
1951., 1.,  3.,  0.0096,  2.2693,  1.0000,  0.4168,  0.1044,  0.0000,  1.2042,    0.0000,  1
1951., 1.,  4.,  0.0099,  2.2524,  1.0000,  0.4239,  0.1066,  0.0000,  1.2044,    0.0000,  1
1951., 1.,  5.,  0.0106,  2.2416,  1.0000,  0.4301,  0.1082,  0.0000,  1.2046,    0.0000,  1
1951., 1.,  6.,  0.0125,  2.2423,  1.0000,  0.4362,  0.1097,  0.0000,  1.2048,    0.0000,  1
1951., 1.,  7.,  0.0139,  2.2514,  1.0000,  0.4391,  0.1097,  0.0000,  1.2049,    0.0000,  1
1951., 1.,  8.,  0.0138,  2.2517,  1.0000,  0.4404,  0.1080,  0.0000,  1.2051,    0.0000,  1
1951., 1.,  9.,  0.0138,  2.2502,  1.0000,  0.4424,  0.1068,  0.0000,  1.2053,    0.0000,  1
1951., 1., 10.,  0.0139,  2.2486,  1.0000,  0.4450,  0.1056,  0.0000,  1.2055,    0.0000,  1
1951., 1., 11.,  0.0138,  2.2467,  1.0000,  0.4478,  0.1046,  0.0000,  1.2056,    0.0000,  1
1951., 1., 12.,  0.0139,  2.2440,  1.0000,  0.4511,  0.1039,  0.0000,  1.2058,    0.0000,  1
1951., 1., 13.,  0.0140,  2.2430,  1.0000,  0.4544,  0.1030,  0.0000,  1.2060,    0.0000,  1
1951., 1., 14.,  0.0136,  2.2379,  1.0000,  0.4563,  0.1015,  0.0000,  1.2062,    0.0000,  1
1951., 1., 15.,  0.0119,  2.2238,  1.0000,  0.4566,  0.0990,  0.0000,  1.2063,    0.0000,  1
1951., 1., 16.,  0.0102,  2.2001,  1.0000,  0.4572,  0.0958,  0.0000,  1.2065,    0.0000,  1
1951., 1., 17.,  0.0099,  2.1824,  1.0000,  0.4586,  0.0942,  0.0000,  1.2067,    0.0000,  1
1951., 1., 18.,  0.0099,  2.1677,  1.0000,  0.4619,  0.1110,  0.0000,  1.2069,    0.0000,  1
1951., 1., 19.,  0.0096,  2.1535,  1.0000,  0.4903,  0.1231,  0.0000,  1.2070,    0.0000,  1
1951., 1., 20.,  0.0093,  2.1370,  1.0000,  0.5165,  0.1299,  0.0000,  1.2072,    0.0000,  1
1951., 1., 21.,  0.0090,  2.1233,  1.0000,  0.5231,  0.1315,  0.0000,  1.2074,    0.0000,  1
1951., 1., 22.,  0.0080,  2.1019,  1.0000,  0.5336,  0.1341,  0.0000,  1.2076,    0.0000,  1
1951., 1., 23.,  0.0077,  2.0827,  1.0000,  0.5458,  0.1372,  0.0000,  1.2077,    0.0000,  1
1951., 1., 24.,  0.0084,  2.0707,  1.0000,  0.5569,  0.1400,  0.0000,  1.2079,    0.0000,  1
1951., 1., 25.,  0.0097,  2.0680,  1.0000,  0.5634,  0.1417,  0.0000,  1.2081,    0.0000,  1
1951., 1., 26.,  0.0094,  2.0614,  1.0000,  0.5618,  0.1400,  0.0000,  1.2083,    0.0000,  1
1951., 1., 27.,  0.0088,  2.0468,  1.0000,  0.5686,  0.1429,  0.0000,  1.2085,    0.0000,  1
1951., 1., 28.,  0.0082,  2.0321,  1.0000,  0.6054,  0.1520,  0.0000,  1.2086,    0.0000,  1
1951., 1., 29.,  0.0071,  2.0108,  1.0000,  0.6432,  0.1617,  0.0000,  1.2088,    0.0000,  1
1951., 1., 30.,  0.0075,  1.9954,  1.0000,  0.6570,  0.1652,  0.0000,  1.2090,    0.0000,  1
1951., 1., 31.,  0.0079,  1.9862,  1.0000,  0.6632,  0.1663,  0.0000,  1.2092,    0.0000,  1
1951., 2., 32.,  0.0072,  1.9697,  1.0000,  0.6681,  0.1679,  0.0000,  1.2093,    0.0000,  1
1951., 2., 33.,  0.0060,  1.9492,  1.0000,  0.6749,  0.1697,  0.0000,  1.2095,    0.0000,  1
1951., 2., 34.,  0.0053,  1.9259,  1.0000,  0.6825,  0.1716,  0.0000,  1.2097,    0.0000,  1
1951., 2., 35.,  0.0051,  1.9077,  1.0000,  0.6895,  0.1734,  0.0000,  1.2099,    0.0000,  1
1951., 2., 36.,  0.0047,  1.8863,  1.0000,  0.7013,  0.1763,  0.0000,  1.2100,    0.0000,  1
1951., 2., 37.,  0.0051,  1.8718,  1.0000,  0.7142,  0.1796,  0.0000,  1.2102,    0.0000,  1
1951., 2., 38.,  0.0046,  1.8545,  1.0000,  0.7327,  0.1841,  0.0000,  1.2104,    0.0000,  1
1951., 2., 39.,  0.0046,  1.8373,  1.0000,  0.7532,  0.1893,  0.0000,  1.2106,    0.0000,  1
1951., 2., 40.,  0.0055,  1.8283,  1.0000,  0.7619,  0.1916,  0.0000,  1.2107,    0.0000,  1
1951., 2., 41.,  0.0058,  1.8206,  1.0000,  0.7607,  0.1909,  0.0000,  1.2109,    0.0000,  1
1951., 2., 42.,  0.0054,  1.8079,  1.0000,  0.7569,  0.1887,  0.0000,  1.2111,    0.0000,  1
1951., 2., 43.,  0.0054,  1.7946,  1.0000,  0.7561,  0.1899,  0.0000,  1.2113,    0.0000,  1
1951., 2., 44.,  0.0056,  1.7846,  1.0000,  0.7611,  0.1914,  0.0000,  1.2115,    0.0000,  1
1951., 2., 45.,  0.0061,  1.7770,  1.0000,  0.7664,  0.1927,  0.0000,  1.2116,    0.0000,  1
